iter	RMSE
378	1.059768272
379	1.057686618
380	1.055729469
381	1.054986973
382	1.053285499
383	1.051481089
384	1.049824372
385	1.048986218
386	1.047960167
387	1.045506065
388	1.044165847
389	1.043491395
390	1.041854342
391	1.039783717
392	1.038869012
393	1.036468858
394	1.035804594
395	1.034630153
396	1.033266109
397	1.033217716
398	1.032307092
399	1.030397394
400	1.02883905
401	1.028802831
402	1.027443598
403	1.027215509
404	1.025796045
405	1.025759858
406	1.024538965
407	1.022988765
408	1.020736246
409	1.02022981
410	1.019929751
411	1.017990128
412	1.017041304
413	1.016829929
414	1.014947902
415	1.014913763
416	1.014176803
417	1.013490208
418	1.011714789
419	1.011668207
420	1.010529719
421	1.008186572
422	1.006217145
423	1.00525311
424	1.005180065
425	1.005147493
426	1.004129635
427	1.003202896
428	1.002267269
429	1.001454335
430	1.001042407
431	0.9991033846
432	0.9977871532
433	0.9969323319
434	0.9951878408
435	0.9948901455
436	0.9929643065
437	0.9915433182
438	0.9898766574
439	0.9892335617
440	0.9874725075
441	0.9867141383
442	0.9846213908
443	0.9833346279
444	0.983106558
445	0.9826555067
446	0.9826240568
447	0.9822518955
448	0.9822210899
449	0.9808152716
450	0.9802851855
451	0.9785544869
452	0.9785217894
453	0.9772089657
454	0.9764683433
455	0.9758081724
456	0.9745500523
457	0.9731170947
458	0.9719757497
459	0.9710015649
460	0.970191156
461	0.9681271035
462	0.9664396495
463	0.9648629056
464	0.9636558029
465	0.9626646989
466	0.9620874065
467	0.9607784527
468	0.959011475
469	0.9582531657
470	0.9577153186
471	0.9563736271
472	0.9553996427
473	0.953973613
474	0.9528105058
475	0.9515602862
476	0.9510744344
477	0.9510241289
478	0.9501498509
479	0.9488622647
480	0.9480355817
481	0.9480078044
482	0.9470290363
483	0.9463376214
484	0.9457017542
485	0.9439903245
486	0.9435932802
487	0.9435608481
488	0.9423091213
489	0.9414089147
490	0.9403858239
491	0.9401539177
492	0.9385579233
493	0.9378647037
494	0.9361703081
495	0.934318669
496	0.9332753768
497	0.9325327669
498	0.9319591541
499	0.9312716491
