iter	Passed	Remaining
401	16366	3989
402	16400	3947
403	16432	3904
404	16466	3862
405	16498	3819
406	16538	3779
407	16582	3739
408	16627	3699
409	16665	3658
410	16698	3616
411	16737	3574
412	16772	3533
413	16805	3490
414	16840	3449
415	16875	3407
416	16911	3366
417	16946	3324
418	16983	3283
419	17016	3241
420	17053	3200
421	17090	3158
422	17125	3117
423	17166	3076
424	17208	3036
425	17248	2996
426	17288	2955
427	17326	2914
428	17366	2874
429	17401	2832
430	17434	2791
431	17470	2749
432	17506	2708
433	17540	2667
434	17575	2626
435	17607	2584
436	17645	2543
437	17687	2503
438	17731	2463
439	17772	2423
440	17815	2383
441	17850	2342
442	17889	2301
443	17925	2260
444	17960	2219
445	17992	2178
446	18024	2137
447	18060	2096
448	18093	2055
449	18127	2014
450	18161	1973
451	18196	1932
452	18230	1891
453	18264	1850
454	18299	1809
455	18333	1769
456	18369	1728
457	18403	1687
458	18438	1647
459	18471	1606
460	18506	1565
461	18548	1525
462	18587	1485
463	18626	1445
464	18666	1404
465	18700	1364
466	18734	1323
467	18769	1283
468	18807	1243
469	18851	1203
470	18897	1163
471	18939	1123
472	18978	1083
473	19016	1043
474	19050	1002
475	19088	962
476	19122	922
477	19153	881
478	19192	841
479	19227	801
480	19263	760
481	19297	720
482	19331	680
483	19366	640
484	19401	600
485	19437	559
486	19471	519
487	19505	479
488	19540	439
489	19574	399
490	19610	359
491	19642	319
492	19678	279
493	19712	239
494	19748	199
495	19785	159
496	19821	119
497	19855	79
498	19889	39
499	19926	0
